# Thu Feb  1 22:20:53 2024

# input dimensionality
5

# covariance function
CovSum(CovSEard, CovNoise)

# log-hyperparameter
8.593285806 8.49076127 0.459242575 8.593285806 8.49076127 3.250971483 -12.64472638 

# mean for input values
261676.8333 261668.5 261660.1667 261651.8333 261643.5 
# std_dev for input values
418.574333 418.5676966 418.574333 418.574333 418.5676966 

# mean and std_dev for target values
2.976431239 0.1733064148

# data (target value in first column)
1.300791802 -1.722115468 -1.721346405 -1.722911822 -1.722115468 -1.721346405 
1.250839761 -1.703002973 -1.702233607 -1.701410265 -1.703002973 -1.702233607 
1.203431149 -1.681501415 -1.683120809 -1.682297769 -1.681501415 -1.683120809 
1.153331655 -1.66238892 -1.66161891 -1.663185274 -1.66238892 -1.66161891 
1.093902854 -1.643276425 -1.642506112 -1.641683717 -1.643276425 -1.642506112 
1.038502612 -1.621774867 -1.623393314 -1.622571221 -1.621774867 -1.623393314 
0.9808204056 -1.602662372 -1.601891415 -1.603458726 -1.602662372 -1.601891415 
0.9133843265 -1.583549877 -1.582778617 -1.581957169 -1.583549877 -1.582778617 
0.8513488587 -1.562048319 -1.563665819 -1.562844673 -1.562048319 -1.563665819 
0.7875067441 -1.542935824 -1.54216392 -1.543732178 -1.542935824 -1.54216392 
0.7137245179 -1.523823329 -1.523051122 -1.522230621 -1.523823329 -1.523051122 
0.6465822976 -1.502321771 -1.503938324 -1.503118125 -1.502321771 -1.503938324 
0.5781498721 -1.483209276 -1.482436425 -1.48400563 -1.483209276 -1.482436425 
0.4998373111 -1.464096781 -1.463323627 -1.462504073 -1.464096781 -1.463323627 
0.4292423662 -1.442595223 -1.444210829 -1.443391577 -1.442595223 -1.444210829 
0.357906231 -1.423482728 -1.42270893 -1.424279082 -1.423482728 -1.42270893 
0.2769927279 -1.404370233 -1.403596132 -1.402777525 -1.404370233 -1.403596132 
0.2046831747 -1.382868675 -1.384483334 -1.383665029 -1.382868675 -1.384483334 
0.1321994626 -1.36375618 -1.362981435 -1.364552534 -1.36375618 -1.362981435 
0.05067589475 -1.344643685 -1.343868637 -1.343050977 -1.344643685 -1.343868637 
-0.02157056315 -1.323142127 -1.324755839 -1.323938481 -1.323142127 -1.324755839 
-0.09341662766 -1.304029632 -1.30325394 -1.304825986 -1.304029632 -1.30325394 
-0.1735405314 -1.284917136 -1.284141142 -1.283324429 -1.284917136 -1.284141142 
-0.2439400613 -1.263415579 -1.265028344 -1.264211933 -1.263415579 -1.265028344 
-0.3133806718 -1.244303084 -1.243526446 -1.245099438 -1.244303084 -1.243526446 
-0.3901355599 -1.225190588 -1.224413647 -1.223597881 -1.225190588 -1.224413647 
-0.4569552698 -1.203689031 -1.205300849 -1.204485385 -1.203689031 -1.205300849 
-0.5222801128 -1.184576536 -1.183798951 -1.18537289 -1.184576536 -1.183798951 
-0.593773017 -1.16546404 -1.164686152 -1.163871333 -1.16546404 -1.164686152 
-0.6553725966 -1.143962483 -1.145573354 -1.144758837 -1.143962483 -1.145573354 
-0.7149719872 -1.124849988 -1.124071456 -1.125646342 -1.124849988 -1.124071456 
-0.7794448521 -1.105737492 -1.104958657 -1.104144784 -1.105737492 -1.104958657 
-0.8343021344 -1.084235935 -1.085845859 -1.085032289 -1.084235935 -1.085845859 
-0.8867092024 -1.06512344 -1.064343961 -1.065919794 -1.06512344 -1.064343961 
-0.9425733752 -1.046010944 -1.045231162 -1.044418236 -1.046010944 -1.045231162 
-0.9893402395 -1.024509387 -1.026118364 -1.025305741 -1.024509387 -1.026118364 
-1.033264702 -1.005396892 -1.004616466 -1.006193246 -1.005396892 -1.004616466 
-1.079143956 -0.9862843964 -0.9855036672 -0.9846916884 -0.9862843964 -0.9855036672 
-1.116668703 -0.9647828391 -0.9663908688 -0.9655791931 -0.9647828391 -0.9663908688 
-1.15102949 -0.9456703437 -0.9448889706 -0.9464666977 -0.9456703437 -0.9448889706 
-1.185794653 -0.9265578484 -0.9257761722 -0.9249651404 -0.9265578484 -0.9257761722 
-1.213152435 -0.9050562911 -0.9066633738 -0.905852645 -0.9050562911 -0.9066633738 
-1.237102506 -0.8859437957 -0.8851614756 -0.8867401497 -0.8859437957 -0.8851614756 
-1.259897926 -0.8668313003 -0.8660486772 -0.8652385924 -0.8668313003 -0.8660486772 
-1.276415642 -0.845329743 -0.8469358788 -0.846126097 -0.845329743 -0.8469358788 
-1.289365765 -0.8262172477 -0.8254339806 -0.8270136016 -0.8262172477 -0.8254339806 
-1.299629563 -0.8071047523 -0.8063211822 -0.8055120444 -0.8071047523 -0.8063211822 
-1.304900684 -0.785603195 -0.7872083838 -0.786399549 -0.785603195 -0.7872083838 
-1.306531985 -0.7664906996 -0.7657064857 -0.7672870536 -0.7664906996 -0.7657064857 
-1.304011691 -0.7473782043 -0.7465936873 -0.7457854963 -0.7473782043 -0.7465936873 
-1.297906142 -0.725876647 -0.7274808889 -0.726673001 -0.725876647 -0.7274808889 
-1.288178408 -0.7067641516 -0.7059789907 -0.7075605056 -0.7067641516 -0.7059789907 
-1.272936221 -0.6876516563 -0.6868661923 -0.6860589483 -0.6876516563 -0.6868661923 
-1.255604373 -0.666150099 -0.6677533939 -0.6669464529 -0.666150099 -0.6677533939 
-1.234756963 -0.6470376036 -0.6462514957 -0.6478339576 -0.6470376036 -0.6462514957 
-1.207167841 -0.6279251082 -0.6271386973 -0.6263324003 -0.6279251082 -0.6271386973 
-1.179036389 -0.6064235509 -0.6080258989 -0.6072199049 -0.6064235509 -0.6080258989 
-1.147583061 -0.5873110556 -0.5865240007 -0.5881074095 -0.5873110556 -0.5865240007 
-1.108326417 -0.5681985602 -0.5674112023 -0.5666058523 -0.5681985602 -0.5674112023 
-1.070088202 -0.5466970029 -0.5482984039 -0.5474933569 -0.5466970029 -0.5482984039 
-1.028803214 -0.5275845075 -0.5267965057 -0.5283808615 -0.5275845075 -0.5267965057 
-0.9788453434 -0.5084720122 -0.5076837073 -0.5068793042 -0.5084720122 -0.5076837073 
